SEQ	CLASS	Qmm	P	T	E
301	2071_2100	NA	8.952	28.748	5.577
302	2071_2100	NA	4.871	28.493	5.705
303	2071_2100	NA	12.368	31.679	6.171
304	2071_2100	NA	37.136	30.631	6.044
305	2071_2100	NA	315.538	29.781	4.695
306	2071_2100	NA	318.323	28.261	4.215
307	2071_2100	NA	89.982	28.475	4.037
308	2071_2100	NA	215.439	28.306	3.814
309	2071_2100	NA	250.713	28.387	3.912
310	2071_2100	NA	399.256	26.973	3.824
311	2071_2100	NA	64.095	27.622	4.038
312	2071_2100	NA	26.505	28.223	4.856
313	2071_2100	NA	1.179	28.363	5.577
314	2071_2100	NA	1.312	28.146	5.705
315	2071_2100	NA	16.063	31.559	6.171
316	2071_2100	NA	74.148	30.484	6.044
317	2071_2100	NA	206.077	29.495	4.695
318	2071_2100	NA	237.717	28.036	4.215
319	2071_2100	NA	385.051	28.655	4.037
320	2071_2100	NA	164.791	28.470	3.814
321	2071_2100	NA	357.259	27.939	3.912
322	2071_2100	NA	308.114	27.606	3.824
323	2071_2100	NA	37.079	27.446	4.038
324	2071_2100	NA	19.751	27.914	4.856
325	2071_2100	NA	2.798	28.538	5.577
326	2071_2100	NA	2.745	27.838	5.705
327	2071_2100	NA	10.128	31.198	6.171
328	2071_2100	NA	25.497	30.951	6.044
329	2071_2100	NA	301.244	29.795	4.695
330	2071_2100	NA	492.671	28.804	4.215
331	2071_2100	NA	161.641	29.473	4.037
332	2071_2100	NA	620.737	29.828	3.814
333	2071_2100	NA	675.899	28.723	3.912
334	2071_2100	NA	533.906	28.052	3.824
335	2071_2100	NA	86.860	28.184	4.038
336	2071_2100	NA	16.059	28.699	4.856
337	2071_2100	NA	1.097	29.165	5.577
338	2071_2100	NA	1.661	28.541	5.705
339	2071_2100	NA	4.477	31.708	6.171
340	2071_2100	NA	16.431	31.017	6.044
341	2071_2100	NA	120.556	29.639	4.695
342	2071_2100	NA	428.147	28.279	4.215
343	2071_2100	NA	316.016	28.285	4.037
344	2071_2100	NA	405.885	27.760	3.814
345	2071_2100	NA	404.785	27.655	3.912
346	2071_2100	NA	357.968	26.757	3.824
347	2071_2100	NA	204.594	27.551	4.038
348	2071_2100	NA	36.441	28.206	4.856
349	2071_2100	NA	3.124	28.745	5.577
350	2071_2100	NA	1.016	28.708	5.705
351	2071_2100	NA	9.430	31.837	6.171
352	2071_2100	NA	54.987	30.431	6.044
353	2071_2100	NA	201.776	28.526	4.695
354	2071_2100	NA	192.877	28.096	4.215
355	2071_2100	NA	184.788	28.965	4.037
356	2071_2100	NA	254.380	28.332	3.814
357	2071_2100	NA	323.764	26.987	3.912
358	2071_2100	NA	450.336	27.663	3.824
359	2071_2100	NA	184.693	28.297	4.038
360	2071_2100	NA	27.918	28.757	4.856
