SEQ	CLASS	Qmm	P	T	E
342	1961_1990	NA	407.924	26.424	3.962051868
343	1961_1990	NA	345.479	26.757	4.095198154
344	1961_1990	NA	414.161	26.588	4.191273689
345	1961_1990	NA	409.467	25.962	4.01298666
346	1961_1990	NA	276.046	25.824	3.884227991
347	1961_1990	NA	200.091	26.076	4.020458221
348	1961_1990	NA	25.388	26.367	4.649784565
349	1961_1990	NA	4.496	26.657	5.166289806
350	1961_1990	NA	0.775	26.260	5.474077225
351	1961_1990	NA	7.523	29.479	5.746303558
352	1961_1990	NA	42.555	29.033	5.551989079
353	1961_1990	NA	192.396	27.747	4.509092331
354	1961_1990	NA	172.654	26.424	3.962051868
355	1961_1990	NA	214.251	26.757	4.095198154
356	1961_1990	NA	262.655	26.588	4.191273689
357	1961_1990	NA	328.446	25.962	4.01298666
358	1961_1990	NA	368.414	25.824	3.884227991
359	1961_1990	NA	180.190	26.076	4.020458221
360	1961_1990	NA	16.866	26.367	4.649784565
